CNPJ_Fundo;Data_Referencia;Versao;Ativo_Negociado;Natureza_Transacao;Data_Transacao;Valor_Envolvido;Data_Assembleia;Contraparte
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-08;723761.38;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-09;2101.28;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-09;975010.87;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-12;115590.51;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-13;12536.4623;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-13;514436.0977;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL TESOURO SELIC FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI;AQUISIÇÃO;2022-09-14;233403.03;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-14;24823.73;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;AQUISIÇÃO;2022-09-15;182987.78;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-16;16992.86;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-19;344.08;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-19;4260.49;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
11.839.593/0001-09;2023-06-01;2;COTAS DE FUNDO - BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CREDITO PRIVADO;ALIENAÇÃO;2022-09-20;96233.51;2019-10-29;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
