CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
34.081.611/0001-23;2023-06-01;1;10176;2315497;0.906944726239819;0.810667454214018;0.0962772720258011;1;237577;0.0930552737601809;0;0.0930552737601809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.197.727/0001-22;2023-06-01;2;16839;2319115;1;0.779030794074464;0.220969205925536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.197.776/0001-65;2023-06-01;1;4046;915088;0.696528500879901;0.463627963196385;0.232900537683516;4;398696;0.303471499120099;0;0.303471499120099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.197.811/0001-46;2023-06-01;1;85155;11787247;1;0.8975;0.1025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34.547.078/0001-42;2023-06-01;1;12;5111.19561987;0.1246;0.0517;0.0729;1;1821.95185973;0.0746;;0.0746;;;;;;;;;;;;;;;;;;;;;;;;;;1;19564.85217958;0.8008;;0.8008
34.691.520/0001-00;2023-06-01;1;1033;804405;0.3735;0.1204;0.2531;4;598980;0.2781;0;0.2781;;;;;;2;750508;0.3484;0;0.3484;;;;;;;;;;;;;;;;;;;;
34.736.474/0001-18;2023-06-01;1;109;1901047.97;0.768;0.3174;0.4506;3;574794;0.232;0;0.232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34.835.191/0001-23;2023-06-01;1;4158;464369;0.4107;0.8085;0.1915;1;69532;0.0615;1;0;;;0;0;0;1;174456;0.1543;0;1;;;0;0;0;1;422349;0.3735;0;1;;;0;0;0;;;0;0;0
34.895.752/0001-80;2023-06-01;2;253;192788;0.8947;0.5596;0.3351;;;;;;1;22687;0.1053;0;0.1053;;;;;;;;;;;;;;;;;;;;;;;;;
35.360.687/0001-50;2023-06-01;1;9319;2217449;0.8777;0.7292;0.1485;;;;;;1;308911;0.1223;0;0.1223;;;;;;;;;;;;;;;;;;;;;;;;;
35.507.262/0001-21;2023-06-01;1;1293;1518826;0.294530776562438;0.286025522344232;0.713974477655768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3637939;0.705469223437562;0;1;0;0;0;0;0;0;0;0;0;0
35.507.457/0001-71;2023-06-01;1;12129;1440000;1;0.9878;0.0122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.586.415/0001-73;2023-06-01;1;406;55916;0.0192229613935306;0.999821160311896;0.000178839688103584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2852897;0.980777038606469;0;1
35.652.081/0001-99;2023-06-01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;224134;1;1;0
35.652.102/0001-76;2023-06-01;1;108549;12142208;1;0.782655757503083;0.217344242496917;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35.652.174/0001-13;2023-06-01;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;214035;0.464253953105004;0;0.464253953105004;1;246995;0.535746046894996;0;0.535746046894996
35.652.204/0001-91;2023-06-01;2;4155;864182;0.607593032150651;0.340264106688865;0.267328925461786;0;0;0;0;0;2;318122;0.223666670416451;0;0.223666670416451;1;240000;0.168740297432898;0;0.168740297432898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35.652.227/0001-04;2023-06-01;1;198;176113;0.275091026383984;0.206056241887288;0.0690347844966956;1;47805;0.0746720941457266;0;0.0746720941457266;0;0;0;0;0;0;0;0;0;0;1;130280;0.203499224459894;0;0.203499224459894;0;0;0;0;0;1;286001;0.446737655010395;0;0.446737655010395;0;0;0;0;0
35.652.252/0001-80;2023-06-01;2;2176;989460;0.9383;0.62;0.3184;1;65047;0.0617;0;0.0617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35.652.278/0001-28;2023-06-01;1;274;2932662.04;0.934003295229973;0.934000428882081;2.86634789226165E-06;1;207222;0.0659967047700271;0.0659967047700271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35.688.460/0001-39;2023-06-01;1;105;835980;0.406669342186873;0.487292758199957;0.512707241800043;2;244000;0.118695805514004;0;1;0;0;0;0;0;0;0;0;0;0;2;975695;0.474634852299123;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35.689.497/0001-81;2023-06-01;1;117;617651;0.376616463414634;0.602366061092753;0.397633938907247;3;300000;0.182926829268293;0.333333333333333;0.666666666666667;0;0;0;0;0;0;0;0;0;0;2;722349;0.440456707317073;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35.864.448/0001-38;2023-06-01;1;99532;13275794;1;0.94;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36.244.015/0001-42;2023-06-01;1;92650;26018873;0.8712;0.829328;0.041898;2;3845718;0.1288;0;0.128774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
